日期,上涨家数,下跌家数,冰点,日期标记,沸点,涨停数,跌停数
2024-07-17,1625,3534,,2024-07-17,,55,13
2024-07-18,2155,2915,,2024-07-18,,52,13
2024-07-19,3102,1982,,2024-07-19,,62,10
2024-07-22,2904,2189,,2024-07-22,,68,10
2024-07-23,568,4672,,2024-07-23,,50,16
2024-07-24,799,4445,,2024-07-24,,51,27
2024-07-25,3421,1677,,2024-07-25,,60,8
2024-07-26,4484,747,,2024-07-26,,67,13
2024-07-29,2341,2741,,2024-07-29,,76,4
2024-07-30,3388,1750,,2024-07-30,,82,4
2024-07-31,5050,255,,2024-07-31,,90,4
2024-08-01,2170,2861,,2024-08-01,,73,6
2024-08-02,995,4193,,2024-08-02,,57,10
2024-08-05,507,4753,,2024-08-05,,51,36
2024-08-06,4767,488,,2024-08-06,,73,26
2024-08-07,2160,2936,,2024-08-07,,71,17
2024-08-08,2355,2771,,2024-08-08,,70,19
2024-08-09,1281,3811,,2024-08-09,,40,22
2024-08-12,1512,3648,,2024-08-12,,38,45
2024-08-13,3729,1377,,2024-08-13,,47,11
2024-08-14,1370,3744,,2024-08-14,,43,4
2024-08-15,3867,1276,,2024-08-15,,54,9
2024-08-16,1670,3530,,2024-08-16,,43,11
2024-08-19,1912,3174,,2024-08-19,,53,17
2024-08-20,669,4591,,2024-08-20,,37,13
2024-08-21,1849,3236,,2024-08-21,,52,6
2024-08-22,777,4468,,2024-08-22,,41,12
2024-08-23,1886,3230,,2024-08-23,,50,14
2024-08-26,3843,1346,,2024-08-26,,59,10
2024-08-27,1053,4174,,2024-08-27,,58,8
2024-08-28,3417,1685,,2024-08-28,,53,7
2024-08-29,4177,966,,2024-08-29,,65,1
2024-08-30,4679,565,,2024-08-30,,80,0
2024-09-02,823,4415,,2024-09-02,,54,9
2024-09-03,3923,1167,,2024-09-03,,74,7
2024-09-04,1291,3873,,2024-09-04,,44,34
2024-09-05,3947,1175,,2024-09-05,,66,8
2024-09-06,539,4712,,2024-09-06,,43,4
2024-09-09,1945,3093,,2024-09-09,,57,18
2024-09-10,3324,1768,,2024-09-10,,49,31
2024-09-11,1605,3548,,2024-09-11,,35,30
2024-09-12,1893,3140,,2024-09-12,,48,6
2024-09-13,1094,4085,,2024-09-13,,47,15
2024-09-18,1520,3649,,2024-09-18,,32,28
2024-09-19,4799,489,,2024-09-19,,76,7
2024-09-20,1639,3479,,2024-09-20,,57,5
2024-09-23,2565,2514,,2024-09-23,,59,18
2024-09-24,5167,161,,2024-09-24,,98,7
2024-09-25,4164,1011,,2024-09-25,,66,5
2024-09-26,5143,177,,2024-09-26,,151,3
2024-09-27,5226,96,,2024-09-27,,138,3
2024-09-30,5336,8,,2024-09-30,,713,2
2024-10-08,5029,291,,2024-10-08,,791,3
2024-10-09,295,5043,,2024-10-09,,51,854
2024-10-10,2998,2229,,2024-10-10,,82,48
2024-10-11,442,4862,,2024-10-11,,51,33
2024-10-14,5023,282,,2024-10-14,,121,6
2024-10-15,801,4482,,2024-10-15,,72,2
2024-10-16,2726,2457,,2024-10-16,,106,5
2024-10-17,1800,3448,,2024-10-17,,68,7
2024-10-18,5094,200,,2024-10-18 00:00:00,,138,0
2024-10-21,3773,1441,,2024-10-21 00:00:00,,190,0
2024-10-22,3595,1681,,2024-10-22 00:00:00,,132,0
2024-10-23,2752,2423,,2024-10-23 00:00:00,,127,2
2024-10-24,2141,3050,700.0,2024-10-24 00:00:00,4700.0,133,3
2024-10-25,4303,982,700.0,2024-10-25 00:00:00,4700.0,191,1
2024-10-28,4223,1073,700.0,2024-10-28 00:00:00,4700.0,294,1
2024-10-29,1062,4247,700.0,2024-10-29 00:00:00,4700.0,152,19
2024-10-30,2320,2916,700.0,2024-10-30 00:00:00,4700.0,194,8
2024-10-31,3512,1721,700.0,2024-10-31 00:00:00,4700.0,212,14
2024-11-01,975,4326,700.0,2024-11-01 00:00:00,4700.0,124,165
2024-11-04,4495,771,700.0,2024-11-04 00:00:00,4700.0,186,43
2024-11-05,5069,239,700.0,2024-11-05 00:00:00,4700.0,218,2
2024-11-06,2828,2379,700.0,2024-11-06 00:00:00,4700.0,181,7
2024-11-07,4528,791,700.0,2024-11-07 00:00:00,4700.0,233,10
2024-11-08,2221,3046,700.0,2024-11-08 00:00:00,4700.0,155,6
2024-11-11,3939,1330,700.0,2024-11-11 00:00:00,4700.0,213,19
2024-11-12,1486,3773,700.0,2024-11-12 00:00:00,4700.0,113,20
2024-11-13,2586,2610,700.0,2024-11-13 00:00:00,4700.0,89,25
2024-11-14,487,4849,700.0,2024-11-14 00:00:00,4700.0,58,26
2024-11-15,929,4366,700.0,2024-11-15 00:00:00,4700.0,81,54
2024-11-18,1165,4120,700.0,2024-11-18 00:00:00,4700.0,90,101
2024-11-19,4516,777,700.0,2024-11-19 00:00:00,4700.0,103,35
2024-11-20,4572,713,700.0,2024-11-20 00:00:00,4700.0,178,6
2024-11-21,2563,2645,700.0,2024-11-21 00:00:00,4700.0,125,12
2024-11-22,429,4917,700.0,2024-11-22 00:00:00,4700.0,78,17
2024-11-25,3734,1537,700.0,2024-11-25 00:00:00,4700.0,170,26
2024-11-26,1536,3707,700.0,2024-11-26 00:00:00,4700.0,106,65
2024-11-27,4329,914,700.0,2024-11-27 00:00:00,4700.0,108,22
2024-11-28,2530,2699,700.0,2024-11-28 00:00:00,4700.0,113,7
2024-11-29,4290,931,700.0,2024-11-29 00:00:00,4700.0,144,11
2024-12-02,4644,659,700.0,2024-12-02 00:00:00,4700.0,185,6
2024-12-03,2448,2720,700.0,2024-12-03 00:00:00,4700.0,134,6
2024-12-04,981,4339,700.0,2024-12-04 00:00:00,4700.0,97,19
2024-12-05,3823,1407,700.0,2024-12-05 00:00:00,4700.0,142,11
2024-12-06,3635,1648,700.0,2024-12-06 00:00:00,4700.0,134,6
